Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Previous_qualification_grade,Nacionality,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP,Status
Single,Phase 1 - General,1,Marketing,Daytime,Secondary Education,139.0,Portuguese,Basic Ed 2nd Cycle,Basic Ed 3rd Cycle,Service,Industry,130.6,Yes,No,No,Paid,Female,No,18,No,0,6,6,6,12.333333333333334,0,0,6,7,5,14.2,0,13.9,-0.3,0.79,Graduate
Single,Phase 1 - General,1,Nursing,Daytime,Secondary Education,136.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 2nd Cycle,Unskilled,Unskilled,119.3,Yes,No,No,Paid,Female,Yes,18,No,0,8,8,7,13.214285714285714,0,0,8,8,7,13.214285714285714,0,12.7,3.7,-1.7,Graduate
Single,Phase 1 - General,2,Basic Education,Daytime,Secondary Education,133.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 1st Cycle,Admin,Unskilled,130.2,Yes,No,No,Paid,Female,No,19,No,0,6,6,0,0.0,0,0,6,0,0,0.0,0,12.7,3.7,-1.7,Dropout
Single,Short Cycle Diploma,1,Tourism,Daytime,Professional Tech Course,110.0,Portuguese,Secondary Ed,Secondary Ed,Admin,Industry,111.8,Yes,No,No,Paid,Female,Yes,21,No,0,6,7,6,10.571428571428571,0,0,6,8,5,11.0,0,8.9,1.4,3.51,Graduate
Single,Phase 1 - General,1,Veterinary Nursing,Daytime,Secondary Education,149.0,Portuguese,Basic Ed 2nd Cycle,Basic Ed 1st Cycle,Service,Service,137.1,Yes,No,No,Paid,Female,Yes,18,No,0,5,7,4,13.25,0,0,5,5,5,12.0,0,10.8,1.4,1.74,Graduate
Single,Phase 1 - General,1,Journalism,Daytime,Secondary Education,127.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 1st Cycle,Unskilled,Technician,120.7,Yes,No,No,Paid,Female,No,20,No,0,6,6,5,13.2,0,0,6,7,0,0.0,0,15.5,2.8,-4.06,Dropout
Single,Phase 3 - General,1,Social Service,Daytime,Secondary Education,137.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 2nd Cycle,Service,Machine Operator,137.4,Yes,No,No,Paid,Female,No,18,No,0,6,10,1,12.0,0,0,6,14,2,11.0,0,10.8,1.4,1.74,Enrolled
Single,Phase 2 - General,2,Nursing,Daytime,Secondary Education,135.0,Portuguese,Basic Ed 3rd Cycle,Secondary Ed,Service,Admin,127.3,Yes,No,No,Paid,Female,No,18,No,0,7,8,7,13.30625,0,0,8,8,8,14.545,0,15.5,2.8,-4.06,Graduate
Single,Phase 1 - General,1,Equinculture,Daytime,Secondary Education,137.0,Portuguese,Degree,Basic Ed 3rd Cycle,Technician,Service,136.3,Yes,No,No,Paid,Female,No,20,No,0,5,8,4,12.5,1,0,5,8,4,12.25,2,10.8,1.4,1.74,Graduate
Single,Phase 1 - General,1,Basic Education,Daytime,Secondary Education,140.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 3rd Cycle,Industry,Industry,124.6,Yes,No,No,Paid,Female,No,18,No,0,7,7,6,11.666666666666666,0,0,7,8,6,13.5,0,16.2,0.3,-0.92,Enrolled
Single,Phase 1 - General,3,Animation Design,Daytime,Secondary Education,122.0,Portuguese,Secondary Ed,Secondary Ed,Unskilled,Machine Operator,120.3,No,No,No,Paid,Female,Yes,21,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,11.1,0.6,2.02,Graduate
Single,Phase 3 - General,4,Oral Hygiene,Daytime,Secondary Education,127.0,Portuguese,Secondary Ed,Basic Ed 2nd Cycle,Admin,Industry,121.8,Yes,No,No,Paid,Female,No,20,No,0,7,14,7,11.4375,0,0,8,9,8,11.425,0,12.7,3.7,-1.7,Enrolled
Single,Phase 1 - General,4,Nursing,Daytime,Secondary Education,142.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 3rd Cycle,Legislative,Legislative,125.5,Yes,No,No,Paid,Female,No,18,No,0,8,12,7,12.857142857142858,0,0,8,12,7,12.857142857142858,0,12.7,3.7,-1.7,Graduate
Single,Phase 1 - General,4,Marketing,Daytime,Secondary Education,125.0,Portuguese,Secondary Ed,Basic Ed 2nd Cycle,Admin,Industry,114.9,Yes,No,No,Paid,Female,Yes,19,No,0,6,8,6,13.375,0,0,6,7,6,12.285714285714286,0,11.1,0.6,2.02,Graduate
Single,Phase 1 - General,1,Nursing,Daytime,Secondary Education,126.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 3rd Cycle,Technician,Industry,123.9,No,No,No,Paid,Female,No,19,No,0,7,8,6,13.296666666666669,0,0,8,9,7,14.114285714285714,0,11.1,0.6,2.02,Graduate
Single,Phase 1 - General,1,Social Service,Daytime,Secondary Education,151.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 2nd Cycle,Unskilled,Unskilled,157.0,Yes,No,Yes,Paid,Female,Yes,18,No,0,6,8,5,11.6,0,0,6,12,4,11.0,0,7.6,2.6,0.32,Enrolled
Single,Phase 2 - General,2,Social Service,Daytime,Secondary Education,115.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 2nd Cycle,Industry,Machine Operator,116.4,Yes,No,No,Paid,Female,No,21,No,0,6,9,6,11.375,0,0,6,9,6,13.285714285714286,0,16.2,0.3,-0.92,Graduate
Single,Phase 1 - General,1,Veterinary Nursing,Daytime,Secondary Education,138.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 3rd Cycle,Technician,Technician,131.0,Yes,No,No,Paid,Female,No,18,No,0,5,9,5,12.666666666666666,2,0,5,7,4,13.0,0,9.4,-0.8,-3.12,Enrolled
Single,Phase 1 - General,1,Management,Daytime,Secondary Education,135.0,Portuguese,Basic Ed 3rd Cycle,Secondary Ed,Unskilled,Unskilled,122.1,Yes,No,No,Paid,Female,No,20,No,0,5,6,5,12.0,0,0,5,6,5,12.333333333333334,0,16.2,0.3,-0.92,Graduate
Single,Phase 2 - General,2,Nursing,Daytime,Secondary Education,127.0,Portuguese,Degree,Degree,Legislative,Armed Forces,118.8,Yes,No,No,Paid,Male,No,19,No,0,7,9,6,12.933333333333332,0,0,7,7,6,13.716666666666669,0,16.2,0.3,-0.92,Enrolled
Single,Tech Diploma,1,Agronomy,Daytime,Tech Specialization,150.0,Portuguese,Master,Doctorate,Admin,Scientific,150.0,No,No,No,Paid,Male,No,21,No,0,6,15,5,11.857142857142858,0,0,6,17,5,10.571428571428571,0,16.2,0.3,-0.92,Enrolled
Single,Institution Change,1,Communication Design,Daytime,Secondary Education,125.0,Portuguese,Professional Tech Course,Degree,ICT Specialist,Finance Specialist,130.0,Yes,No,No,Paid,Male,No,20,No,2,6,7,6,12.833333333333334,0,0,6,9,4,13.4,0,8.9,1.4,3.51,Graduate
Single,Phase 1 - General,1,Management,Daytime,Secondary Education,143.0,Portuguese,Secondary Ed,Secondary Ed,Admin,Agriculture,138.8,No,No,No,Unpaid,Male,No,18,No,0,5,9,3,11.333333333333334,0,0,5,8,2,13.5,0,8.9,1.4,3.51,Enrolled
Single,Phase 3 - General,1,Social Service Evening,Evening,Secondary Education,138.0,Portuguese,Basic Ed 3rd Cycle,Secondary Ed,Unskilled,Service,134.5,Yes,No,No,Paid,Female,No,19,No,0,6,6,6,12.666666666666666,0,0,6,8,6,14.375,0,12.4,0.5,1.79,Graduate
Single,Phase 1 - General,1,Management Evening,Evening,Secondary Education,130.0,Portuguese,Bachelor,Basic Ed 1st Cycle,Technician,Unskilled,131.4,No,No,No,Paid,Male,No,34,No,0,5,6,5,12.4,0,0,5,9,5,13.428571428571429,0,13.9,-0.3,0.79,Graduate
Single,Over 23 Years,1,Biofuel Tech,Daytime,Secondary Education,130.0,Portuguese,Basic Ed 2nd Cycle,Basic Ed 1st Cycle,Unskilled,Agriculture,102.5,No,No,Yes,Unpaid,Male,No,37,No,0,7,7,0,0.0,0,0,7,7,1,10.0,0,8.9,1.4,3.51,Dropout
Single,Over 23 Years,1,Informatics Engineering,Daytime,11th Incomplete,133.1,Portuguese,Unknown,Basic Ed 1st Cycle,Student,Student,128.8,Yes,No,No,Paid,Male,No,43,No,0,5,0,0,0.0,0,0,5,0,0,0.0,0,7.6,2.6,0.32,Dropout
Single,Course Change,1,Management,Daytime,Secondary Education,140.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 1st Cycle,Agriculture,Agriculture,122.9,No,No,No,Paid,Female,No,55,No,0,5,10,1,10.0,0,0,5,8,2,12.0,2,16.2,0.3,-0.92,Dropout
Divorced,Over 23 Years,1,Management Evening,Evening,Secondary Education,120.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 3rd Cycle,Unskilled,Technician,113.9,Yes,No,No,Paid,Female,No,39,No,0,5,8,5,11.0,0,0,5,5,5,11.6,0,7.6,2.6,0.32,Graduate
Single,Tech Diploma,1,Equinculture,Daytime,Tech Specialization,120.0,Spanish,Master,Master,Technician,Agriculture,120.0,No,No,Yes,Unpaid,Female,No,20,Yes,2,6,13,3,11.666666666666666,0,1,6,11,3,12.0,0,12.4,0.5,1.79,Dropout
Single,Phase 1 - General,5,Journalism,Daytime,Secondary Education,126.0,Portuguese,Degree,Degree,Scientific,Scientific,121.1,No,No,Yes,Paid,Female,No,18,No,0,6,6,4,12.75,0,0,5,5,0,0.0,0,12.7,3.7,-1.7,Dropout
Single,Phase 1 - General,2,Management,Daytime,Secondary Education,133.0,Portuguese,Degree,Basic Ed 3rd Cycle,Scientific,Industry,120.4,Yes,No,No,Paid,Female,No,22,No,0,5,5,5,14.8,0,0,5,5,5,15.8,0,8.9,1.4,3.51,Graduate
Single,Phase 1 - General,6,Nursing,Daytime,Secondary Education,103.0,Portuguese,Secondary Ed,Degree,Scientific,Scientific,100.6,Yes,Yes,No,Paid,Female,No,22,No,0,7,9,5,13.928,0,0,8,9,7,14.342857142857142,0,11.1,0.6,2.02,Graduate
Single,Phase 2 - General,1,Journalism,Daytime,Secondary Education,120.0,Portuguese,Secondary Ed,Basic Ed 2nd Cycle,Service,Service,121.4,No,No,No,Unpaid,Female,No,20,No,0,6,7,4,13.0,0,0,6,7,5,13.8,0,12.4,0.5,1.79,Dropout
Single,Over 23 Years,1,Management Evening,Evening,Secondary Education,133.1,Portuguese,Basic Ed 1st Cycle,Basic Ed 1st Cycle,Unskilled,Unskilled,109.7,No,No,No,Paid,Female,No,29,No,0,5,0,0,0.0,0,0,5,0,0,0.0,0,16.2,0.3,-0.92,Dropout
Single,Phase 2 - General,1,Management Evening,Evening,Secondary Education,154.0,Portuguese,Basic Ed 2nd Cycle,Basic Ed 2nd Cycle,Admin,Service,134.1,No,No,No,Paid,Female,No,24,No,0,5,9,2,11.5,0,0,5,11,3,14.333333333333334,1,7.6,2.6,0.32,Enrolled
Single,Phase 2 - General,2,Social Service,Daytime,Secondary Education,130.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 3rd Cycle,Unskilled,Unskilled,127.6,Yes,No,No,Paid,Female,No,18,No,0,6,6,6,11.666666666666666,0,0,6,8,5,13.2,0,11.1,0.6,2.02,Graduate
Single,Phase 2 - General,6,Nursing,Daytime,Secondary Education,132.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 3rd Cycle,Industry,Industry,132.4,Yes,No,No,Paid,Female,Yes,22,No,0,7,8,6,13.516666666666666,0,0,8,9,7,13.771428571428572,0,11.1,0.6,2.02,Graduate
Single,Tech Diploma,1,Social Service Evening,Evening,Tech Specialization,130.0,Portuguese,Secondary Ed,Basic Ed 3rd Cycle,Unskilled,Unskilled,133.4,No,No,No,Paid,Female,Yes,21,No,3,6,6,6,11.5,0,2,6,7,6,13.285714285714286,0,12.4,0.5,1.79,Graduate
Single,Phase 1 - General,1,Social Service,Daytime,Secondary Education,139.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 2nd Cycle,Unskilled,Unskilled,126.1,No,No,No,Paid,Female,Yes,19,No,0,6,7,5,12.333333333333334,0,0,6,7,6,12.833333333333334,0,12.7,3.7,-1.7,Graduate
Single,Over 23 Years,1,Tourism,Daytime,Secondary Education,130.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 2nd Cycle,Unskilled,Industry,113.5,No,No,No,Paid,Female,Yes,24,No,0,6,6,6,13.666666666666666,0,0,6,6,6,14.166666666666666,0,12.4,0.5,1.79,Graduate
Single,Phase 1 - General,1,Nursing,Daytime,Secondary Education,139.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 2nd Cycle,Agriculture,Agriculture,121.3,Yes,No,No,Paid,Female,Yes,19,No,0,8,10,6,11.833333333333334,0,0,8,10,6,11.833333333333334,0,9.4,-0.8,-3.12,Enrolled
Single,Phase 1 - General,1,Journalism,Daytime,Secondary Education,127.0,Portuguese,Secondary Ed,Basic Ed 3rd Cycle,Industry,Industry,121.8,Yes,No,No,Paid,Female,Yes,20,No,0,6,11,4,14.0,0,0,6,12,3,11.0,0,9.4,-0.8,-3.12,Enrolled
Single,Phase 1 - General,3,Equinculture,Daytime,Secondary Education,167.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 1st Cycle,Other,Other,159.3,No,No,No,Paid,Female,No,19,No,0,5,7,5,14.714285714285714,0,0,5,5,5,15.8,0,7.6,2.6,0.32,Graduate
Single,Over 23 Years,1,Management Evening,Evening,Secondary Education,130.0,Portuguese,Basic Ed 2nd Cycle,Basic Ed 2nd Cycle,Unskilled,Unskilled,120.0,No,No,No,Paid,Female,No,27,No,0,5,12,5,10.6,0,0,5,10,5,11.0,0,9.4,-0.8,-3.12,Dropout
Single,Phase 1 - General,1,Nursing,Daytime,Secondary Education,130.0,Portuguese,Secondary Ed,Basic Ed 3rd Cycle,Service,Service,129.1,Yes,No,No,Paid,Female,No,18,No,0,7,9,7,13.044444444444444,0,0,8,10,8,13.595,0,15.5,2.8,-4.06,Graduate
Married,Higher Course Holders,1,Tourism,Daytime,Degree,130.0,Portuguese,Secondary Ed,Degree,Admin,Technician,130.0,No,No,No,Paid,Female,No,39,No,0,6,10,0,0.0,0,0,6,6,0,0.0,0,12.4,0.5,1.79,Dropout
Single,Over 23 Years,1,Equinculture,Daytime,Degree 1st Cycle,129.0,Portuguese,Degree,Degree,Scientific,Scientific,155.3,Yes,No,No,Paid,Female,No,27,No,0,6,9,5,13.0,0,5,11,13,10,12.9,0,12.4,0.5,1.79,Dropout
Single,Phase 2 - General,1,Nursing,Daytime,Secondary Education,141.0,Portuguese,Basic Ed 2nd Cycle,Basic Ed 2nd Cycle,Industry,Armed Forces,139.8,Yes,No,No,Paid,Female,No,18,No,0,8,8,8,14.935,0,0,8,8,8,14.935,0,9.4,-0.8,-3.12,Graduate
Single,Phase 1 - General,3,Animation Design,Daytime,Secondary Education,125.0,Portuguese,Basic Ed 2nd Cycle,Basic Ed 1st Cycle,Admin,Unskilled,115.2,Yes,No,No,Paid,Female,No,18,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,7.6,2.6,0.32,Enrolled
Single,Phase 1 - General,2,Nursing,Daytime,Secondary Education,125.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 3rd Cycle,Unskilled,Unskilled,114.9,No,No,No,Paid,Female,No,18,No,0,7,8,6,13.133333333333333,0,0,8,12,7,12.221428571428572,0,16.2,0.3,-0.92,Graduate
Single,Tech Diploma,1,Social Service,Daytime,Tech Specialization,130.0,Portuguese,Basic Ed 3rd Cycle,Secondary Ed,Unskilled,Unskilled,131.9,No,No,No,Paid,Female,Yes,21,No,3,6,7,6,12.0,0,2,6,7,6,12.0,0,13.9,-0.3,0.79,Graduate
Single,Phase 2 - General,3,Animation Design,Daytime,Secondary Education,133.0,Portuguese,Secondary Ed,Basic Ed 1st Cycle,Admin,Industry,126.0,Yes,No,No,Paid,Male,Yes,19,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Enrolled
Single,Phase 2 - General,1,Communication Design,Daytime,Secondary Education,127.0,Portuguese,Secondary Ed,Secondary Ed,Technician,Admin,130.2,Yes,No,No,Paid,Male,No,19,No,0,6,6,5,11.4,0,0,6,8,1,10.0,0,10.8,1.4,1.74,Enrolled
Single,Course Change,1,Communication Design,Daytime,Secondary Education,116.0,Portuguese,Secondary Ed,Secondary Ed,Technician,Technician,120.9,No,No,No,Paid,Male,No,24,No,0,6,6,0,0.0,0,0,6,6,0,0.0,0,12.7,3.7,-1.7,Enrolled
Divorced,Transfer,1,Nursing,Daytime,Basic Ed 3rd Cycle,133.1,Portuguese,Secondary Ed,Secondary Ed,Service,Service,126.0,Yes,No,No,Paid,Male,No,29,No,2,7,10,5,11.9,0,1,8,10,5,11.0,0,13.9,-0.3,0.79,Dropout
Single,Phase 1 - General,3,Animation Design,Daytime,Secondary Education,139.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 3rd Cycle,Service,Technician,128.2,Yes,No,No,Paid,Male,Yes,19,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Graduate
Single,Tech Diploma,1,Agronomy,Daytime,Tech Specialization,130.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 1st Cycle,Unskilled,Unskilled,130.0,Yes,No,No,Paid,Male,No,23,No,0,6,8,6,12.571428571428571,0,0,6,7,6,12.428571428571429,0,8.9,1.4,3.51,Graduate
Single,Phase 1 - General,3,Management,Daytime,Secondary Education,125.0,Portuguese,Secondary Ed,Basic Ed 2nd Cycle,Industry,Industry,120.1,No,No,Yes,Paid,Male,No,19,No,0,5,8,5,11.2,0,0,5,10,4,10.75,3,16.2,0.3,-0.92,Dropout
Single,Over 23 Years,1,Tourism,Daytime,Secondary Education,160.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 1st Cycle,Industry,Armed Forces,100.0,No,No,No,Paid,Male,No,26,No,0,6,7,6,12.0,0,0,6,8,5,10.8,0,12.7,3.7,-1.7,Enrolled
Single,Phase 2 - General,1,Management,Daytime,Secondary Education,148.0,Portuguese,Basic Ed 2nd Cycle,Basic Ed 1st Cycle,Service,Service,134.0,No,No,No,Paid,Male,No,18,No,0,5,9,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Enrolled
Single,Phase 2 - General,1,Nursing,Daytime,Secondary Education,150.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 3rd Cycle,Machine Operator,Admin,130.8,No,No,No,Paid,Male,No,24,No,0,7,8,7,11.975,0,0,8,8,8,13.75,0,13.9,-0.3,0.79,Graduate
Single,Phase 1 - General,1,Animation Design,Daytime,Secondary Education,141.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 3rd Cycle,Service,Armed Forces,135.8,Yes,No,No,Paid,Male,No,19,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,15.5,2.8,-4.06,Dropout
Single,Phase 2 - General,4,Tourism,Daytime,Secondary Education,118.0,Portuguese,Basic Ed 2nd Cycle,Basic Ed 1st Cycle,Service,Industry,111.7,Yes,No,No,Paid,Male,No,18,No,0,6,12,3,11.666666666666666,0,0,6,12,1,12.0,0,12.4,0.5,1.79,Dropout
Single,Phase 1 - General,2,Journalism,Daytime,Secondary Education,142.0,Portuguese,Basic Ed 2nd Cycle,Basic Ed 2nd Cycle,Unskilled,Unskilled,132.9,Yes,No,No,Paid,Male,No,18,No,0,6,8,6,12.333333333333334,0,0,6,11,3,12.333333333333334,0,10.8,1.4,1.74,Graduate
Single,Phase 2 - General,3,Management,Daytime,Secondary Education,120.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 3rd Cycle,Admin,Industry,115.5,Yes,No,Yes,Paid,Male,No,18,No,0,5,8,3,10.333333333333334,0,0,5,11,3,10.857142857142858,0,10.8,1.4,1.74,Dropout
Single,Phase 3 - General,4,Tourism,Daytime,Secondary Education,106.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 1st Cycle,Industry,Industry,106.0,Yes,No,No,Paid,Male,Yes,21,No,0,6,8,4,10.5,0,0,6,11,1,11.0,0,9.4,-0.8,-3.12,Dropout
Single,Phase 2 - General,4,Journalism,Daytime,Secondary Education,121.0,Portuguese,Secondary Ed,Basic Ed 3rd Cycle,Unskilled,Machine Operator,120.3,Yes,No,Yes,Paid,Male,Yes,19,No,0,6,6,6,13.666666666666666,0,0,6,6,6,13.333333333333334,0,8.9,1.4,3.51,Graduate
Single,Phase 2 - General,4,Nursing,Daytime,Secondary Education,150.0,Portuguese,Basic Ed 2nd Cycle,Basic Ed 1st Cycle,Unskilled,Unskilled,130.8,No,No,No,Paid,Male,Yes,22,No,0,7,7,7,14.842857142857142,0,0,8,9,8,15.055555555555555,0,16.2,0.3,-0.92,Graduate
Married,Over 23 Years,1,Social Service Evening,Evening,Secondary Education,120.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 1st Cycle,Unskilled,Agriculture,117.0,No,No,No,Paid,Male,No,33,No,0,6,8,6,12.0,0,0,6,6,6,11.666666666666666,0,10.8,1.4,1.74,Graduate
Single,Phase 1 - General,6,Basic Education,Daytime,Secondary Education,114.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 3rd Cycle,Unskilled,Unskilled,110.2,Yes,No,No,Paid,Male,No,20,No,0,6,8,5,12.2,0,0,6,7,5,12.2,0,10.8,1.4,1.74,Dropout
Single,Over 23 Years,1,Management Evening,Evening,Bachelor Degree,140.0,Portuguese,Degree,Degree,Scientific,Scientific,155.7,Yes,No,No,Paid,Male,No,35,No,0,1,1,0,0.0,1,0,5,0,0,0.0,0,10.8,1.4,1.74,Dropout
Single,Over 23 Years,1,Agronomy,Daytime,Master Degree,160.0,Portuguese,Degree,Degree,Admin,Scientific,180.4,No,No,Yes,Paid,Male,No,24,No,6,12,17,6,12.166666666666666,0,7,12,14,10,13.3,0,12.4,0.5,1.79,Dropout
Single,Phase 2 - General,1,Tourism,Daytime,Secondary Education,120.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 3rd Cycle,Admin,Admin,125.5,No,No,No,Paid,Male,No,18,No,0,5,6,5,12.0,0,0,5,8,3,11.333333333333334,0,12.7,3.7,-1.7,Enrolled
Married,Over 23 Years,1,Social Service Evening,Evening,Secondary Education,130.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 1st Cycle,Unskilled,Agriculture,110.0,Yes,No,No,Paid,Female,No,33,No,0,6,7,6,11.0,0,0,6,11,5,11.0,0,9.4,-0.8,-3.12,Graduate
Single,Transfer,1,Nursing,Daytime,Secondary Education,160.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 2nd Cycle,Unskilled,Industry,161.0,Yes,No,No,Paid,Female,Yes,22,No,0,8,8,7,13.08,0,0,8,8,7,13.08,0,10.8,1.4,1.74,Graduate
Single,Over 23 Years,1,Marketing,Daytime,Secondary Education,120.0,Portuguese,Secondary Ed,Basic Ed 3rd Cycle,Admin,Service,100.0,No,No,No,Paid,Female,Yes,25,No,0,5,7,4,10.5,0,0,5,7,5,11.6,0,9.4,-0.8,-3.12,Graduate
Single,Phase 2 - General,1,Communication Design,Daytime,Secondary Education,124.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 2nd Cycle,Admin,Student,117.6,Yes,No,No,Paid,Male,No,20,No,0,6,9,6,10.666666666666666,1,0,6,6,5,11.2,0,7.6,2.6,0.32,Graduate
